CustomerID,recency,frequency,monetary,r_score,f_score,m_score,fm_score,rfm_segment
16641,97,1,231.1,2,1,1,1,About to Sleep
13061,64,1,248.61,2,1,1,1,About to Sleep
14089,48,1,161,2,1,1,1,About to Sleep
15369,136,1,-1592.49,2,1,1,1,About to Sleep
13067,74,1,115.46000000000002,2,1,1,1,About to Sleep
12814,93,1,125.92,2,1,1,1,About to Sleep
15118,126,1,244.8,2,1,1,1,About to Sleep
15374,120,1,168,2,1,1,1,About to Sleep
15886,52,1,181.09000000000003,2,1,1,1,About to Sleep
17427,63,1,100.8,2,1,1,1,About to Sleep
14100,129,1,194.9,2,1,1,1,About to Sleep
16149,134,1,163.68,2,1,1,1,About to Sleep
15895,141,1,179.17,2,1,1,1,About to Sleep
18200,98,1,163.79999999999998,2,1,1,1,About to Sleep
16921,53,1,169.79000000000005,2,1,1,1,About to Sleep
13083,67,1,192.39,2,1,1,1,About to Sleep
16413,48,1,262.2,2,1,1,1,About to Sleep
17694,133,1,283.12,2,1,1,1,About to Sleep
13858,49,1,216.16999999999996,2,1,1,1,About to Sleep
13348,56,1,233.75999999999996,2,1,1,1,About to Sleep
15396,104,1,288.18,2,1,1,1,About to Sleep
14117,135,1,90,2,1,1,1,About to Sleep
17957,58,1,111.67999999999998,2,1,1,1,About to Sleep
13095,62,1,74.399999999999991,2,1,1,1,About to Sleep
17448,136,1,-4287.63,2,1,1,1,About to Sleep
13866,66,1,145.67000000000002,2,1,1,1,About to Sleep
17962,134,1,102.83,2,1,1,1,About to Sleep
13099,91,1,207.35999999999999,2,1,1,1,About to Sleep
16171,51,1,73.2,2,1,1,1,About to Sleep
16428,73,1,-2.95,2,1,1,1,About to Sleep
16429,98,1,284.55,2,1,1,1,About to Sleep
15663,98,1,138.14,2,1,1,1,About to Sleep
16432,56,1,287.4,2,1,1,1,About to Sleep
14642,50,1,96.12,2,1,1,1,About to Sleep
16178,130,1,197.90000000000003,2,1,1,1,About to Sleep
12851,88,1,135.18000000000004,2,1,1,1,About to Sleep
16179,52,1,215.82999999999998,2,1,1,1,About to Sleep
13876,55,1,122.70000000000002,2,1,1,1,About to Sleep
13621,108,1,213.85000000000002,2,1,1,1,About to Sleep
13877,78,1,117.24000000000001,2,1,1,1,About to Sleep
12602,50,1,153.12000000000003,2,1,1,1,About to Sleep
14652,69,1,114.17999999999999,2,1,1,1,About to Sleep
14908,66,1,277.79999999999995,2,1,1,1,About to Sleep
13886,63,1,243.55999999999995,2,1,1,1,About to Sleep
14143,125,1,115.8,2,1,1,1,About to Sleep
16447,127,1,259.00999999999993,2,1,1,1,About to Sleep
16959,79,1,117.35000000000001,2,1,1,1,About to Sleep
12864,130,1,147.11999999999998,2,1,1,1,About to Sleep
17984,137,1,152.68,2,1,1,1,About to Sleep
15937,56,1,145.35,2,1,1,1,About to Sleep
16961,108,1,234.17000000000002,2,1,1,1,About to Sleep
14658,109,1,123.13999999999999,2,1,1,1,About to Sleep
17986,48,1,20.8,2,1,1,1,About to Sleep
15683,109,1,193.75,2,1,1,1,About to Sleep
16451,79,1,266.97,2,1,1,1,About to Sleep
17475,71,1,194.37,2,1,1,1,About to Sleep
